file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0932_0228_1579299_to_1589298,འདི་ནས་ཚུའེ་ཧྲན་གྲོང་རྡལ་བར་དུ་ཐག་ཉེ་བོ་ཡོད་རེད། ངེད་གཉིས་སྔན་ལ་ཁྱེད་རང་ཕ་གིར་སྐྱེལ་དགོས། དེ་ནས་ཐབས་ཤེས་བཏང་བྱས། ཁྱེད་རང་གི་ནང་མི་རྙེད་ཐུབ་བྱེད་ཆོག། སེམས་ཁྲལ་མ་བྱེད།  ,'di nas tshu'e hran grong rdal bar du thag nye bo yod red/_nged gnyis sngan la khyed rang pha gir skyel dgos/_de nas thabs shes btang byas/_khyed rang gi nang mi rnyed thub byed chog/_sems khral ma byed/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0932_0228_1579299_to_1589298.wav,STT_MV,3,167,9.999,wav16k/STT_MV0932_0228_1579299_to_1589298.wav,འདི་ནས་ཚུའེ་ཧྲན་གྲོང་བརྡལ་བར་དུ་ཐག་ཉེ་པོ་ཡོད་རེད། ངེད་གཉིས་ཀི་སྔོན་ལ་ཁྱེད་རང་ཕ་གིར་སྐྱེལ་དགོས། དི་ནས་ཐབས་ཤེས་བཏང་བྱས་ཁྱེད་རང་གིས་ནང་མི་རྙེད་ཐུབ་པ་བྱེད་ཆོག སེམས་ཁྲལ་མ་བྱེད།
STT_MV0462_0012_198114_to_206677,ཡུམ་ཆེན་གིས་ངར་རྒྱན་ཆ་མང་པོ་འདི་འདྲས་བཏགས་གནང་བྱས་རྩེད་མོ་རྩེ་དུས་བདེ་བོ་ཁྱོན་ནས་མི་འདུག ཨ་ཧ་ཧ་ཧ་ཧ། བུ། རང་རྒྱལ་སྲས་སོང་ཙང་།  ,yum chen gis ngar rgyan cha mang po 'di 'dras btags gnang byas rtsed mo rtse dus bde bo khyon nas mi 'dug_a ha ha ha ha/_bu/_rang rgyal sras song tsang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0462_0012_198114_to_206677.wav,STT_MV,3,126,8.563,wav16k/STT_MV0462_0012_198114_to_206677.wav,ཡུམ་ཆེན་གིས་ང་རྒྱན་ཆ་མང་པོ་འདེ་འདྲས་བཏགས་གནང་བྱས། རྩེད་མོ་རྩེ་དུས་བདེ་པོ་ཁྱོན་ནས་མི་འདུག ཧ་ཧ་ཧ་ཧ་ཧ། བུ། རང་རྒྱལ་སྲས་སོང་ཙང་།
STT_MV0932_0234_1641708_to_1649035,ཁྱེད་རང་ཚོ་འདིར་ཁའོ་ཀྲུང་དང་ཞུས་ཙི་ལིས་ཟེར་མྱི་གི་མི་གཉིོས་ཡོད་རེད་བེ། ཡོད་རེད། ཁོང་ང་ཚོའི་གཅེན་པོ་རེད། ང་ཚོ་གོང་མ་ཚང་གི་བཀའ་བཞིན་ ,khyed rang tsho 'dir kha'o krung dang zhus tsi lis zer myi gi mi gnyi+os yod red be/_yod red/_khong nga tsho'i gcen po red/_nga tsho gong ma tshang gi bka' bzhin _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0932_0234_1641708_to_1649035.wav,STT_MV,3,131,7.327,wav16k/STT_MV0932_0234_1641708_to_1649035.wav,ཁྱེད་རང་ཚོ་འདིར་ཁའོ་ཀྲུང་དང་ཞུས་ཙི་ལིས་ཟེར་མྱི་གི་མི་གཉིས་ཡོད་རེད། ཡོད་རེད། ཁོང་ང་ཚོའི་གཅེན་པོ་རེད། ང་ཚོ་གོང་མ་ཚང་གི་བཀའ་བཞིན་
STT_MV0932_0269_1913622_to_1922214,ངས་སྔན་ལ་རྗེད་འདེད་གཏང་མྱི་ཡོད་མེད་ངས་གཅིག་ལྟ་ག་ཕྱིན་དགོས། ཁྱེད་རང་ཚོ་ངལ་གསོ་བརྒྱབ་ཨ། གཟབ་གཟབ་གནང་ལགས། ཡོང་ང་། གཅེན་པོ། གཟབ་གཟབ་གནང་ལགས། ཁྱེད་རང་སྣང་དག་མི་འདུག་ག་ ,ngas sngan la rjed 'ded gtang myi yod med ngas gcig lta ga phyin dgos/_khyed rang tsho ngal gso brgyab a/_gzab gzab gnang lags/_yong nga /_gcen po/_gzab gzab gnang lags/_khyed rang snang dag mi 'dug ga _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0932_0269_1913622_to_1922214.wav,STT_MV,3,163,8.592,wav16k/STT_MV0932_0269_1913622_to_1922214.wav,ངའི་སྔོན་ལ་རྗེས་འདེད་གཏང་མྱི་ཡོད་མེད་ཅིག་བལྟ་ག་ཕྱིན་དགོས། ཁྱེད་རང་ཚོ་ངལ་གསོ་རྒྱོབ་ཨ། གཟབ་གཟབ་གནང་ལ། ཡོང་ང་། གཅེན་པོ་གཟབ་གཟབ་གནང་ལ། ཁྱེད་རང་སྣང་དག་མི་འདུག་ག
STT_MV0745_0264_2034677_to_2039619,ཨུ་ལེ། པཱ་ལགས་ང་ཡིན། ཇེན་ཇེན་ག་པར་ཡོད།  ,u le/_pA lags nga yin/_jen jen ga par yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0745_0264_2034677_to_2039619.wav,STT_MV,3,40,4.942,wav16k/STT_MV0745_0264_2034677_to_2039619.wav,ཨ་ཡེ། པཱ་ལགས། ང་ཡིན། ཇེན་ཇེན། ག་པར་ཡོད།
STT_MV0932_0245_1707729_to_1716796,སུར་མགོ་སྐོར་གཏང་གི་ཡོད་ཨ། ཁོང་ཚོ་རང་གི་དགེ་ཕྲུག་མ་རེད་བེ། ད་དུང་རང་གིས་གཉེན་སྒྲིག་གྲ་སྒྲིག་བྱས་འདུག་གེ། ད་དུང་ཧ་གོ་གི་མེད་ཟེར་ཨེ།  ,sur mgo skor gtang gi yod a/_khong tsho rang gi dge phrug ma red be/_da dung rang gis gnyen sgrig gra sgrig byas 'dug ge/_da dung ha go gi med zer e/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0932_0245_1707729_to_1716796.wav,STT_MV,3,132,9.067,wav16k/STT_MV0932_0245_1707729_to_1716796.wav,སུར་མགོ་སྐོར་གཏང་གི་ཡོད་ཨ། ཁོ་ཚོ་རང་གི་དགེ་ཕྲུག་མ་རེད་པེ། ད་དུང་རང་གིས་གཉེན་སྒྲིག་གྲ་སྒྲིག་བྱེད་ཀི་འདུག་ག ད་དུང་ཧ་གོ་གི་མེད་ཟེར་ཨེ།
STT_NS_M0512_0215_1286134_to_1288491,སོ་སོའི་ལུས། ད་སེམས་ཀི་འཕྲོད་བསྟེན་སྐོར་ཐོག་བཤད་པ་འདྲ་བོ་ཅིག ,so so'i lus/_da sems ki 'phrod bsten skor thog bshad pa 'dra bo cig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0512_0215_1286134_to_1288491.wav,STT_NS,3,61,2.357,wav16k/STT_NS_M0512_0215_1286134_to_1288491.wav,སོ་སོའི་ལུས་ད་སེམས་ཀི་འཕྲོད་བསྟེན་སྐོར་ཐོག་བཤད་པ་འདྲ་བོ་ཅིག
STT_MV0463_0116_964531_to_967576,ཡིན་ནའང་ཁོས་སླར་ཡང་ཉེས་པ་བསགས་ཤག ,yin na'ang khos slar yang nyes pa bsags shag_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0463_0116_964531_to_967576.wav,STT_MV,3,33,3.045,wav16k/STT_MV0463_0116_964531_to_967576.wav,ཡིན་ནས་ཁོས་སླར་ཡང་ཉེས་པ་བསགས་ཤག
STT_MV0463_0043_445862_to_448497,ཆ་རེལ་ཁོ་རྙེད་རྒྱུ་ཕར་ཞོགས།  ,cha rel kho rnyed rgyu phar zhogs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0463_0043_445862_to_448497.wav,STT_MV,3,29,2.635,wav16k/STT_MV0463_0043_445862_to_448497.wav,ཆ་རིལ་ཁོ་རྙེད་རྒྱུ་ཕར་བཞག
STT_MV0463_0117_967576_to_971958,བྱས་ཙང་། ཆ་རེལ་གི་ཁལ་བཀྱག་བྱེད་མྱི་དེས་ཉེས་ཆད་འཁྱེར་དགོས་རེད།  ,byas tsang /_cha rel gi khal bkyag byed myi des nyes chad 'khyer dgos red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0463_0117_967576_to_971958.wav,STT_MV,3,63,4.382,wav16k/STT_MV0463_0117_967576_to_971958.wav,བྱས་ཙང་ཆ་རིལ་ཀི་ཁར་རྒྱག་བྱེད་མྱི་དེ་ཉེས་ཆད་ཁྱེལ་དགོས་རེད།
